date,stage,fixture_id,home,away,host_side,venue,altitude_m,home_advantage_elo,altitude_adjustment_elo,legacy_combined_elo,neutral_host_adv_probability,adjusted_host_adv_probability,host_advanced,component_status,source
2026-07-06,R16,2026-R16-USA-Belgium,USA,Belgium,H,Lumen Field,0,85,0,,0.370,0.471,0,separated_home_only,2026 report through Jul 7
2026-07-05,R16,2026-R16-Mexico-England,Mexico,England,H,Estadio Azteca,2240,,,90,0.381,0.486,0,legacy_combined_not_identifiable,2026 report through Jul 5
